City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,2020-11-28 17:00:34,-33.65,115.33,48.0,91,69,7.99,broken clouds
1,Sisimiut,GL,2020-11-28 17:03:05,66.94,-53.67,18.5,85,73,11.86,broken clouds
2,Thompson,CA,2020-11-28 17:03:06,55.74,-97.86,12.2,92,90,2.24,light snow
3,Ribeira Grande,PT,2020-11-28 17:03:06,38.52,-28.7,57.2,62,40,4.7,scattered clouds
4,Butaritari,KI,2020-11-28 17:03:06,3.07,172.79,81.72,81,21,17.69,few clouds
5,Olga,RU,2020-11-28 17:03:06,43.74,135.29,17.13,85,0,8.97,clear sky
6,Marienburg,PL,2020-11-28 16:58:59,54.04,19.03,39.0,100,99,8.03,light rain
7,Atuona,PF,2020-11-28 17:03:06,-9.8,-139.03,79.2,72,1,20.89,clear sky
8,Luderitz,NA,2020-11-28 17:03:07,-26.65,15.16,71.6,60,0,29.97,clear sky
9,Rikitea,PF,2020-11-28 17:03:07,-23.12,-134.97,76.39,83,98,13.04,overcast clouds
10,Bonthe,SL,2020-11-28 17:03:07,7.53,-12.51,83.46,70,19,7.92,light rain
11,Mandalgovi,MN,2020-11-28 17:03:07,45.76,106.27,0.27,90,0,12.06,clear sky
12,Makakilo City,US,2020-11-28 17:00:32,21.35,-158.09,71.6,73,1,3.36,clear sky
13,Upernavik,GL,2020-11-28 17:03:07,72.79,-56.15,-0.58,72,77,6.78,broken clouds
14,Port Alfred,ZA,2020-11-28 17:03:07,-33.59,26.89,67.77,78,73,12.17,light rain
15,Kayerkan,RU,2020-11-28 17:03:07,69.35,87.76,10.4,85,90,22.37,light snow
16,Barrow,US,2020-11-28 17:00:02,71.29,-156.79,8.6,78,90,8.05,overcast clouds
17,Puerto Ayora,EC,2020-11-28 17:03:07,-0.74,-90.35,77.0,73,75,14.99,broken clouds
18,Kapaa,US,2020-11-28 17:03:08,22.08,-159.32,71.6,64,40,10.29,scattered clouds
19,Victoria,HK,2020-11-28 17:00:05,22.29,114.16,68.0,67,0,10.74,clear sky
20,Iaciara,BR,2020-11-28 16:58:47,-14.1,-46.63,85.51,49,35,8.08,scattered clouds
21,Jamestown,US,2020-11-28 17:02:50,42.1,-79.24,39.0,69,90,10.29,overcast clouds
22,Wenling,CN,2020-11-28 17:03:08,28.37,121.36,55.0,74,100,11.36,overcast clouds
23,New Norfolk,AU,2020-11-28 17:03:08,-42.78,147.06,57.99,74,100,2.35,light rain
24,Ushuaia,AR,2020-11-28 17:01:01,-54.8,-68.3,42.8,75,40,14.99,scattered clouds
25,Bethel,US,2020-11-28 17:03:08,41.37,-73.41,53.01,57,40,10.29,scattered clouds
26,Naryan-Mar,RU,2020-11-28 17:03:08,67.67,53.09,14.11,95,91,13.29,overcast clouds
27,Mehamn,NO,2020-11-28 17:03:09,71.04,27.85,35.04,84,100,13.31,overcast clouds
28,Diebougou,BF,2020-11-28 17:03:09,10.97,-3.25,95.25,17,1,4.03,clear sky
29,Adrar,MR,2020-11-28 17:03:09,20.5,-10.07,72.97,24,51,7.29,broken clouds
30,Cape Town,ZA,2020-11-28 16:59:14,-33.93,18.42,69.01,63,20,25.28,few clouds
31,Verkhnevilyuysk,RU,2020-11-28 17:03:09,63.45,120.32,-5.21,91,95,6.73,overcast clouds
32,Kahului,US,2020-11-28 17:00:36,20.89,-156.47,71.6,78,75,6.93,broken clouds
33,Mataura,NZ,2020-11-28 17:03:09,-46.19,168.86,52.0,80,45,8.99,scattered clouds
34,Sterlitamak,RU,2020-11-28 17:03:09,53.62,55.95,18.21,96,96,3.94,overcast clouds
35,Arraial Do Cabo,BR,2020-11-28 17:03:10,-22.97,-42.03,84.2,69,20,20.8,few clouds
36,Sitka,US,2020-11-28 17:03:10,57.05,-135.33,39.2,80,90,24.16,light rain
37,Ambeloi,GR,2020-11-28 17:03:10,41.0,23.37,51.01,79,64,1.01,broken clouds
38,Ancud,CL,2020-11-28 17:03:10,-41.87,-73.82,59.0,76,90,9.17,overcast clouds
39,Longyearbyen,SJ,2020-11-28 17:03:10,78.22,15.64,24.8,73,90,29.97,light snow
40,Takab,IR,2020-11-28 17:03:10,36.4,47.11,37.74,79,100,8.68,overcast clouds
41,Punta Arenas,CL,2020-11-28 17:03:10,-53.15,-70.92,44.6,65,75,13.87,broken clouds
42,Yellowknife,CA,2020-11-28 17:03:11,62.46,-114.35,-11.99,75,20,2.24,few clouds
43,Hithadhoo,MV,2020-11-28 17:03:11,-0.6,73.08,81.91,75,81,8.61,broken clouds
44,Port Elizabeth,ZA,2020-11-28 17:03:11,-33.92,25.57,64.4,93,90,8.05,overcast clouds
45,Tasiilaq,GL,2020-11-28 17:03:11,65.61,-37.64,14.0,47,20,1.12,few clouds
46,Sorong,ID,2020-11-28 17:03:11,-0.88,131.25,80.26,79,80,2.89,broken clouds
47,Catuday,PH,2020-11-28 17:03:11,16.29,119.81,79.07,80,20,10.89,moderate rain
48,Hobart,AU,2020-11-28 17:00:04,-42.88,147.33,57.99,76,90,8.05,overcast clouds
49,Salinopolis,BR,2020-11-28 17:03:11,-0.61,-47.36,85.19,70,30,13.58,light rain
50,Hermanus,ZA,2020-11-28 17:03:12,-34.42,19.23,66.99,64,10,5.01,clear sky
51,Coihueco,CL,2020-11-28 17:03:12,-36.62,-71.83,71.6,43,0,5.82,clear sky
52,Ilhabela,BR,2020-11-28 17:03:12,-23.78,-45.36,80.51,70,3,5.75,clear sky
53,Wanning,CN,2020-11-28 17:03:12,18.8,110.4,70.36,82,99,16.22,overcast clouds
54,Neuquen,AR,2020-11-28 17:03:12,-38.95,-68.06,82.4,24,0,5.82,clear sky
55,Bridlington,GB,2020-11-28 17:03:12,54.08,-0.19,48.2,93,98,5.82,overcast clouds
56,East London,ZA,2020-11-28 17:03:12,-33.02,27.91,71.6,68,0,9.17,clear sky
57,Kavieng,PG,2020-11-28 17:03:13,-2.57,150.8,82.69,82,99,15.12,light rain
58,Hilo,US,2020-11-28 17:03:13,19.73,-155.09,66.2,82,1,5.82,clear sky
59,Aksu,CN,2020-11-28 17:03:13,41.12,80.26,26.31,82,8,4.41,clear sky
60,Ilulissat,GL,2020-11-28 17:01:41,69.22,-51.1,10.4,51,20,4.7,few clouds
61,Bara,NG,2020-11-28 17:03:13,10.37,10.73,91.4,19,0,11.41,clear sky
62,Banda Aceh,ID,2020-11-28 17:03:13,5.56,95.32,77.22,86,100,7.27,overcast clouds
63,Sakaiminato,JP,2020-11-28 17:03:13,35.55,133.23,46.4,93,75,6.93,broken clouds
64,Cidreira,BR,2020-11-28 17:03:13,-30.18,-50.21,76.89,76,92,18.39,light rain
65,Ranfurly,NZ,2020-11-28 17:03:14,-45.13,170.1,36.0,93,1,3.78,clear sky
66,Lasa,IT,2020-11-28 17:03:14,46.62,10.7,36.0,69,5,3.36,clear sky
67,Yiyang,CN,2020-11-28 17:03:14,28.59,112.33,39.74,91,12,4.83,few clouds
68,Qaanaaq,GL,2020-11-28 17:03:14,77.48,-69.36,-0.58,85,100,6.31,overcast clouds
69,Saint George,US,2020-11-28 17:03:14,37.1,-113.58,30.2,46,1,4.7,clear sky
70,Luena,AO,2020-11-28 17:03:14,-11.78,19.92,67.26,88,79,2.51,broken clouds
71,Kaeo,NZ,2020-11-28 17:03:14,-35.1,173.78,48.99,93,41,1.99,scattered clouds
72,Bluff,NZ,2020-11-28 17:03:14,-46.6,168.33,52.0,80,69,8.99,broken clouds
73,Port Lincoln,AU,2020-11-28 17:03:15,-34.73,135.87,58.46,69,36,15.64,scattered clouds
74,Anadyr,RU,2020-11-28 17:03:15,64.75,177.48,6.8,84,0,2.24,clear sky
75,Anloga,GH,2020-11-28 17:03:15,5.79,0.9,86.0,66,40,3.36,scattered clouds
76,Tuatapere,NZ,2020-11-28 17:03:15,-46.13,167.68,52.0,80,47,8.99,scattered clouds
77,Geraldton,AU,2020-11-28 17:03:15,-28.77,114.6,60.8,67,82,10.29,broken clouds
78,Guerrero Negro,MX,2020-11-28 17:03:16,27.98,-114.06,63.19,38,55,1.3,broken clouds
79,Pierre,US,2020-11-28 17:01:01,44.37,-100.35,37.4,44,1,9.17,clear sky
80,Chivilcoy,AR,2020-11-28 17:01:56,-34.9,-60.02,77.04,73,100,7.63,overcast clouds
81,Carnarvon,AU,2020-11-28 17:03:16,-24.87,113.63,69.8,83,35,18.34,scattered clouds
82,Bambanglipuro,ID,2020-11-28 17:03:16,-7.95,110.28,76.14,92,100,2.04,light rain
83,Nikolskoye,RU,2020-11-28 17:03:16,59.7,30.79,33.8,80,90,13.42,overcast clouds
84,Angoche,MZ,2020-11-28 17:03:16,-16.23,39.91,80.13,82,5,7.18,clear sky
85,Margate,GB,2020-11-28 17:03:17,51.38,1.39,50.0,84,0,11.83,clear sky
86,Khorixas,NA,2020-11-28 17:03:17,-20.37,14.97,76.59,48,83,2.21,light rain
87,Josanicka Banja,RS,2020-11-28 17:03:17,43.39,20.75,32.0,71,90,2.24,mist
88,Emerald,AU,2020-11-28 17:03:17,-23.53,148.17,71.6,73,1,6.93,clear sky
89,Dikson,RU,2020-11-28 17:03:17,73.51,80.55,28.56,99,100,27.72,light snow
90,Albany,US,2020-11-28 17:02:19,42.6,-73.97,50.0,59,87,3.0,overcast clouds
91,Khilok,RU,2020-11-28 17:03:17,51.37,110.47,8.06,93,98,4.85,overcast clouds
92,Russell,US,2020-11-28 17:03:17,32.35,-85.2,62.6,77,40,5.82,scattered clouds
93,Katsuura,JP,2020-11-28 17:03:17,35.13,140.3,51.01,53,75,14.99,broken clouds
94,Castro,BR,2020-11-28 17:03:18,-24.79,-50.01,84.36,43,6,0.92,clear sky
95,Turukhansk,RU,2020-11-28 17:03:18,65.82,87.98,-2.54,93,100,6.42,overcast clouds
96,Atbasar,KZ,2020-11-28 17:03:18,51.8,68.33,11.32,94,100,11.07,overcast clouds
97,Provideniya,RU,2020-11-28 17:03:18,64.38,-173.3,17.74,91,59,14.74,broken clouds
98,Buchanan,LR,2020-11-28 17:03:18,5.88,-10.05,86.0,74,75,11.41,broken clouds
99,Homer,US,2020-11-28 17:03:18,59.64,-151.55,37.99,93,20,8.05,few clouds
100,Severo-Kurilsk,RU,2020-11-28 17:03:18,50.68,156.12,25.48,90,64,4.72,broken clouds
101,Chumikan,RU,2020-11-28 17:03:18,54.72,135.31,4.71,89,100,13.8,overcast clouds
