City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
4,4,Butaritari,KI,2020-11-28 17:03:06,3.07,172.79,81.72,81,21,17.69,few clouds
7,7,Atuona,PF,2020-11-28 17:03:06,-9.8,-139.03,79.2,72,1,20.89,clear sky
9,9,Rikitea,PF,2020-11-28 17:03:07,-23.12,-134.97,76.39,83,98,13.04,overcast clouds
10,10,Bonthe,SL,2020-11-28 17:03:07,7.53,-12.51,83.46,70,19,7.92,light rain
17,17,Puerto Ayora,EC,2020-11-28 17:03:07,-0.74,-90.35,77.0,73,75,14.99,broken clouds
20,20,Iaciara,BR,2020-11-28 16:58:47,-14.1,-46.63,85.51,49,35,8.08,scattered clouds
35,35,Arraial Do Cabo,BR,2020-11-28 17:03:10,-22.97,-42.03,84.2,69,20,20.8,few clouds
43,43,Hithadhoo,MV,2020-11-28 17:03:11,-0.6,73.08,81.91,75,81,8.61,broken clouds
46,46,Sorong,ID,2020-11-28 17:03:11,-0.88,131.25,80.26,79,80,2.89,broken clouds
47,47,Catuday,PH,2020-11-28 17:03:11,16.29,119.81,79.07,80,20,10.89,moderate rain
49,49,Salinopolis,BR,2020-11-28 17:03:11,-0.61,-47.36,85.19,70,30,13.58,light rain
52,52,Ilhabela,BR,2020-11-28 17:03:12,-23.78,-45.36,80.51,70,3,5.75,clear sky
54,54,Neuquen,AR,2020-11-28 17:03:12,-38.95,-68.06,82.4,24,0,5.82,clear sky
57,57,Kavieng,PG,2020-11-28 17:03:13,-2.57,150.8,82.69,82,99,15.12,light rain
62,62,Banda Aceh,ID,2020-11-28 17:03:13,5.56,95.32,77.22,86,100,7.27,overcast clouds
64,64,Cidreira,BR,2020-11-28 17:03:13,-30.18,-50.21,76.89,76,92,18.39,light rain
75,75,Anloga,GH,2020-11-28 17:03:15,5.79,0.9,86.0,66,40,3.36,scattered clouds
80,80,Chivilcoy,AR,2020-11-28 17:01:56,-34.9,-60.02,77.04,73,100,7.63,overcast clouds
82,82,Bambanglipuro,ID,2020-11-28 17:03:16,-7.95,110.28,76.14,92,100,2.04,light rain
84,84,Angoche,MZ,2020-11-28 17:03:16,-16.23,39.91,80.13,82,5,7.18,clear sky
86,86,Khorixas,,2020-11-28 17:03:17,-20.37,14.97,76.59,48,83,2.21,light rain
94,94,Castro,BR,2020-11-28 17:03:18,-24.79,-50.01,84.36,43,6,0.92,clear sky
98,98,Buchanan,LR,2020-11-28 17:03:18,5.88,-10.05,86.0,74,75,11.41,broken clouds
107,107,Mahebourg,MU,2020-11-28 17:03:19,-20.41,57.7,75.2,78,40,12.03,scattered clouds
111,111,Azul,AR,2020-11-28 17:00:02,-36.78,-59.86,83.77,45,96,9.55,overcast clouds
118,118,Paita,PE,2020-11-28 17:03:20,-5.09,-81.11,80.6,57,0,12.75,clear sky
119,119,Vaini,TO,2020-11-28 17:03:20,-21.2,-175.2,75.2,94,40,5.82,scattered clouds
120,120,Mar Del Plata,AR,2020-11-28 17:00:00,-38.0,-57.56,84.2,54,90,12.75,overcast clouds
128,128,Alofi,NU,2020-11-28 17:03:21,-19.06,-169.92,75.2,100,100,6.93,light rain
129,129,Aitape,PG,2020-11-28 17:03:21,-3.14,142.35,78.44,84,100,5.35,moderate rain
132,132,Cayenne,GF,2020-11-28 17:00:29,4.93,-52.33,75.2,100,8,9.62,mist
133,133,Hambantota,LK,2020-11-28 17:03:22,6.12,81.12,78.28,82,100,2.62,overcast clouds
135,135,Mopipi,BW,2020-11-28 17:03:22,-21.18,24.88,85.19,42,30,11.48,scattered clouds
138,138,Kathu,TH,2020-11-28 17:03:23,7.92,98.33,77.0,94,75,3.36,broken clouds
145,145,Boa Vista,BR,2020-11-28 17:02:58,2.82,-60.67,89.6,52,75,9.17,broken clouds
